OBJECTID,type_,desc_type,nom_plant,culture,echelle,province,nom_acquer,etat_plant,sup_adm_ha,sup_sig_ha,created_user,created_date,last_edited_user,last_edited_date,globalid,proprietaire,note,Shape__Area,Shape__Length
108,5120000,Culture pérenne, ,Palmier à huile,De plus de 1000 hectares,, ,En activité,5191,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,4a7b1fa9-9458-4fe3-a1ef-ab3716661df9, , ,51959813.4328613,71982.0799205181
109,5120000,Culture pérenne, ,N.I.,De plus de 1000 hectares,, ,Abandonné,1489,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,0449c303-076e-4446-87fa-3c819ba1e9ef, , ,14886296.0025635,38946.9489597765
110,5120000,Culture pérenne, , ,De 100 à 1000 hectares,, ,Abandonné,224,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,8b0e1424-15d0-4a58-b230-797d4310b45a, , ,2243917.54467773,8899.59496733615
111,5120000,Culture pérenne, ,Palmier à huile,De plus de 1000 hectares,, ,Abandonné,1026,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,4f598f47-9ce6-4ef9-b62e-5ef502c0e80c, ,Limites d'origine non détectables sur imagerie,10261251.0542259,19857.8937059484
112,5120000,Culture pérenne,Yaligimba,Palmier à huile,De plus de 1000 hectares,,Unilever,En activité,12222,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,6ff39146-cb30-452f-a46a-ab71c8c4397d,PHC/Feronia, ,122316760.989319,104714.762514204
113,5120000,Culture pérenne, ,Palmier à huile,De plus de 1000 hectares,, ,Abandonné,1026,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,28b49f7a-7d9a-41ad-b113-21b1dca3c825, , ,10272804.2919312,22293.0320182005
114,5120000,Culture pérenne, , ,De plus de 1000 hectares,, ,N.I.,9869,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,176a832d-ba86-4bb3-a85c-da57096dd23b, , ,98972259.0969849,56140.2830424241
115,5120000,Culture pérenne, ,Palmier à huile,De 100 à 1000 hectares,, ,En activité,256,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,84b838a0-45f3-47f9-a07a-66b835052cfb, , ,2563550.28071213,9107.10667649067
116,5120000,Culture pérenne, ,N.I.,De 100 à 1000 hectares,, ,Abandonné,132,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,1e13011c-9204-4999-8f1e-b30af4e511a5, , ,1317029.75494385,5132.00974704895
117,5120000,Culture pérenne, ,Palmier à huile,De 30 à 100 hectares,, ,Abandonné,39,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,d64fa8d0-7e85-42c7-bcfa-4f5877829f98, , ,391981.922729492,3004.46536220707
118,5120000,Culture pérenne, ,Palmier à huile,De 100 à 1000 hectares,, ,En activité,132,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,e9fbdc10-1663-47ac-9794-bdbfef64f01e, , ,1319500.90887451,9879.49880801473
119,5120000,Culture pérenne, ,Palmier à huile,De plus de 1000 hectares,, ,Abandonné,1643,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,b37736ed-5684-4fc6-a0e9-79bd01bacb42, , ,16434010.2026958,22032.2150265833
120,5120000,Culture pérenne, ,Palmier à huile,De plus de 1000 hectares,, ,En activité,2771,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,c792ff4b-28bf-4a6a-b950-01e9ec4f15bc, , ,27738525.9335327,34653.6634966252
121,5120000,Culture pérenne, ,Café,De 100 à 1000 hectares,, ,Abandonné,191,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,c65c5d2f-400a-48c3-8f3b-c7647c8273c3, , ,1908793.36414337,6620.00817797078
122,5120000,Culture pérenne, , ,De 30 à 100 hectares,, ,Abandonné,90,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,cf8745b7-0c00-46b2-970e-5d619c32d8a6, , ,898740.328979492,4010.62392839137
123,5120000,Culture pérenne,Sites agroforestiers de Kimeso I et II,Palmier à huile,Agroforesterie communautaire,, ,En activité,113,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,aa2a94de-861c-4253-a4ae-000799d73f09, , ,1131231.55908203,5677.12355209415
124,5120000,Culture pérenne,Site agroforestier de Mutombo-Kangu,Palmier à huile,Agroforesterie communautaire,, ,Abandonné,53,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,d4be7ee1-79c1-4a0f-9e66-3e9c8f9f917a, , ,534970.676757812,3076.94389252774
125,5120000,Culture pérenne, ,Café,De 100 à 1000 hectares,, ,Abandonné,154,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,088aed9b-2a53-4004-b78e-8a89961cf2a7, ,Limites d'origine non détectables sur imagerie,1547370.77471924,5078.18522703438
